!	46
#	1
Fairbanks	1
Falls	1
Far	6
Faraday	1
Fate	1
Father	1
Fauna_	1
Feathers	1
Fife	4
Fifth	1
Fifty-Foot	1
Fifty-foot	1
Fig	10
Figs	1
Figure	1
Fiji	1
Finally	4
Firelight	1
First	9
Fish	3
Fishes	6
Five	2
Flagellates	1
Flinders	1
Floating	1
Flower	1
Flying	16
Fog	1
Folk	2
Following	1
For	52
Foraminifera	2
Forbes	2
Force	1
Forces	4
Fore-limb	2
Foresight	2
Forming	2
Formosa	1
Forms	2
Forreri_	2
Fossils	1
Foundation	24
Fountain	1
Four	1
Four-toed	1
Fourteen	1
Fourth	3
Fowl	1
Fox	2
Fox-bat	1
France	4
Frances	1
Frederick	1
French	3
Fresh	1
Freshwater	1
Freshwaters	1
Fritz	1
Frog	3
Frog-mouth	1
Frogs	2
From	39
Frontispiece_	1
Fruit-fly	1
Fry	3
Fry._	1
Full	1
Fundy	1
Further	1
Furthermore	2
Future	1
G	1
G.	10
GABOON	2
GALLOPING	2
GAMBIAN	2
GAMBIENSE	2
GARMENT	2
GATEPOST	2
GEDDES	1
GENEALOGICAL	3
GEOLOGICAL	2
GIANT	4
GIBBON	4
GIRAFFE	2
GISBERT	1
GIVE	1
GIVES	2
GIVING	2
GLACIAL	1
GLASS	2
GLOWING	1
GLUED	2
GOING	3
GOLF	2
GONE	2
GOODRICH	1
GORILLA	6
GOSSAMER	2
GR	1
GRADUAL	2
GRANULES	2
GRAZING	2
GREAT	14
GREEN	2
GREENLAND	2
GROUP	2
GUIANA	2
GUTENBERG	3
GUTENBERG-tm	1
Galileo	2
Galley	1
Galway	1
Gambier	6
Gamble	2
Gamma	4
Ganymede	1
Gardens	2
General	4
Generally	1
Geological	1
Geologists	1
George	1
Georgics	1
Gertrude	1
Getting	2
Giant	3
Giants	1
Gibraltar	2
Gibson	1
Gilbert	1
Giraffe	1
Girdled	1
Given	6
Glacial	1
Glaciation	1
Glaciations	1
Glasgow	1
Glass	1
Glimpses	1
Globigerinid	1
Go	1
God	2
God-like	2
Goethe	1
Going	2
Golden	4
Gradual	1
Gradually	1
Graptolites	1
Gravitation	1
Gravity	1
Great	10
Greater	1
Greatest	1
Greatly	1
Greece	2
Greek	9
Greeks	4
Greenwich	4
Greenwich._	3
Gregory	1
Grouse	2
Growth	1
Gull	1
Gutenberg	27
Gutenberg-tm	56
Gyges	1
H	2
H.	43
HABITS	2
HADDON	2
HAMMERING	2
HAND	4
HARPY-EAGLE	2
HAS	12
HATCHING	2
HAVE	1
HEAD	8
HEADLEY	1
HEAVENS	2
HEIDELBERG	4
HEIGHT	2
HENRY	2
HER	6
HERCULES	3
HERMIT-CRAB	2
HESPERORNIS	2
HICKSON	1
HIGH	2
HIGHLY	2
HILL	2
HINCKS	1
HIND-LEG	2
HIND-LIMBS	2
HISTORY	4
HJORT	1
HOATZIN	2
HOLDER	1
HOLDING	2
HOLMAN	1
HOME	1
HOMING	2
HOMOLOGY	2
HORNBILL	2
HORSE	10
HOW	3
HUGE	4
HUMAN	4
HUNTING	2
HUTCHINSON	1
HUXLEY	2
HYDRA	2
HYDROGEN	3
Habits	1
Had	1
